elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm,left_nn_command_nm,right_nn_command_nm
2.6000,-0.1960,-0.0305,-0.5971,-0.0027,0.0000,-0.0226,3.7932,3.5724
2.6101,-0.1960,-0.0305,-0.5971,-0.0027,0.0000,-0.0226,3.7932,3.5724
2.6200,-0.1960,-0.0305,-0.5971,-0.0027,0.0000,-0.0226,3.7934,3.5725
2.6300,-0.1960,-0.0305,-0.5971,-0.0027,0.0000,-0.0226,3.7933,3.5726
2.6406,-0.1960,-0.0305,-0.6025,-0.0027,0.0000,-0.0226,3.7933,3.5726
2.6500,-0.1960,-0.0305,-0.6025,-0.0027,0.0000,-0.0226,3.7933,3.5726
2.6603,-0.1960,-0.0305,-0.6025,-0.0027,0.0000,-0.0226,3.7934,3.5728
2.6707,-0.1960,-0.0305,-0.6025,-0.0027,0.0000,-0.0226,3.7934,3.5728
2.6801,-0.1960,-0.0305,-0.6080,-0.0027,0.0000,-0.0226,3.7933,3.5728
2.6901,-0.1960,-0.0305,-0.6080,-0.0027,0.0000,-0.0226,3.7934,3.5728
2.7002,-0.1960,-0.0305,-0.6080,-0.0027,0.0000,-0.0226,3.7935,3.5730
